onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
6.1782	0	right	100.0	right_hand.png	2.0	30891.0	1	1	left	0	-9.4
10.811	0	right	100.0	right_hand.png	2.0	54055.0	1	2	left	0	-33.4
15.581	0	right	183.33333333299998	right_hand.png	2.0	77905.0	1	3	left	0	-10.2
20.2848	0	right	166.66666666700002	left_hand.png	2.0	101424.0	1	4	right	0	-9.6
24.9054	0	right	83.3333333333	left_hand.png	2.0	124527.0	1	5	right	0	-22.2
29.5796	0	left	133.33333333299998	left_hand.png	1.0	147898.0	1	6	right	0	-19.2
34.2166	0	left	100.0	left_hand.png	1.0	171083.0	1	7	right	0	-40.6
38.8992	0	left	150.0	left_hand.png	1.0	194496.0	1	8	right	0	-12.8
43.5236	0	left	83.3333333333	left_hand.png	1.0	217618.0	1	9	right	0	-23.0
48.2438	0	left	183.33333333299998	left_hand.png	1.0	241219.0	1	10	right	0	12.2
52.9268	0	left	150.0	right_hand.png	1.0	264634.0	1	11	left	0	-29.6
57.6468	0	right	183.33333333299998	left_hand.png	2.0	288234.0	1	12	right	0	-21.2
62.3172	0	left	133.33333333299998	left_hand.png	1.0	311586.0	1	13	right	0	-29.4
67.00399999999999	0	right	150.0	left_hand.png	2.0	335020.0	1	14	right	0	-8.8
71.5742	0	left	33.3333333333	right_hand.png	1.0	357871.0	1	15	left	0	-27.2
76.2282	0	right	116.666666667	left_hand.png	2.0	381141.0	1	16	right	0	-21.4
98.962	0	right	133.33333333299998	right_hand.png	2.0	494810.0	1	17	left	1	-18.0
103.632	0	left	133.33333333299998	right_hand.png	1.0	518160.0	1	18	left	1	-13.8
108.2694	0	right	100.0	right_hand.png	2.0	541347.0	1	19	left	1	-32.6
112.939	0	left	133.33333333299998	right_hand.png	1.0	564695.0	1	20	left	1	8.2
117.61	0	right	133.33333333299998	right_hand.png	2.0	588050.0	1	21	left	1	-29.2
