onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
11.2776	0	right	150.0	right_hand.png	2.0	56388.0	1	1	left	0	-13.6
24.9048	0	right	133.33333333299998	right_hand.png	2.0	124524.0	1	2	left	2	-9.0
29.5416	0	left	100.0	right_hand.png	1.0	147708.0	1	3	left	2	-23.8
34.1786	0	right	100.0	left_hand.png	2.0	170893.0	1	4	right	2	-28.2
38.8816	0	left	166.66666666700002	left_hand.png	1.0	194408.0	1	5	right	2	-20.8
43.4854	0	right	66.6666666667	right_hand.png	2.0	217427.0	1	6	left	2	-16.6
48.0722	0	left	50.0	left_hand.png	1.0	240361.0	1	7	right	2	4.6
52.7762	0	right	166.66666666700002	left_hand.png	2.0	263881.0	1	8	right	2	-14.6
57.4132	0	right	100.0	right_hand.png	2.0	287066.0	1	9	left	2	7.6
62.0664	0	left	116.666666667	right_hand.png	1.0	310332.0	1	10	left	2	-12.0
66.7702	0	right	166.66666666700002	right_hand.png	2.0	333851.0	1	11	left	2	-5.4
79.6468	0	right	100.0	right_hand.png	2.0	398234.0	1	12	left	4	-9.8
84.2834	0	left	100.0	left_hand.png	1.0	421417.0	1	13	right	4	-33.8
89.00399999999998	0	left	183.33333333299998	right_hand.png	1.0	445020.0	1	14	left	4	-26.6
93.6908	0	right	150.0	right_hand.png	2.0	468454.0	1	15	left	4	-20.4
98.398	0	left	166.66666666700002	right_hand.png	1.0	491990.0	1	16	left	4	-19.6
103.1146	0	right	183.33333333299998	right_hand.png	2.0	515573.0	1	17	left	4	-7.4
107.8176	0	left	166.66666666700002	left_hand.png	1.0	539088.0	1	18	right	4	-16.0
112.4884	0	right	133.33333333299998	right_hand.png	2.0	562442.0	1	19	left	4	-27.6
117.06	0	left	33.3333333333	right_hand.png	1.0	585300.0	1	20	left	4	-13.2
121.6452	0	right	50.0	right_hand.png	2.0	608226.0	1	21	left	4	-12.4
126.299	0	left	116.666666667	left_hand.png	1.0	631495.0	1	22	right	4	-10.6
131.0194	0	right	183.33333333299998	right_hand.png	2.0	655097.0	1	23	left	4	1.4
135.6224	0	left	66.6666666667	right_hand.png	1.0	678112.0	1	24	left	4	-19.2
140.3138	0	right	150.0	left_hand.png	2.0	701569.0	1	25	right	4	-0.2
144.8796	0	left	33.3333333333	right_hand.png	1.0	724398.0	1	26	left	4	-9.2
149.5502	0	left	133.33333333299998	left_hand.png	1.0	747751.0	1	27	right	4	-43.0
154.2038	0	right	116.666666667	left_hand.png	2.0	771019.0	1	28	right	4	-9.8
158.7908	0	left	50.0	right_hand.png	1.0	793954.0	1	29	left	4	-19.6
163.4608	0	right	133.33333333299998	left_hand.png	2.0	817304.0	1	30	right	4	-4.8
168.1312	0	left	133.33333333299998	left_hand.png	1.0	840656.0	1	31	right	4	-16.0
172.8514	0	right	183.33333333299998	left_hand.png	2.0	864257.0	1	32	right	4	-24.2
177.4212	0	left	33.3333333333	left_hand.png	1.0	887106.0	1	33	right	4	-13.2
182.125	0	right	166.66666666700002	left_hand.png	2.0	910625.0	1	34	right	4	-6.6
186.7954	0	left	133.33333333299998	right_hand.png	1.0	933977.0	1	35	left	4	-43.4
191.4988	0	right	166.66666666700002	left_hand.png	2.0	957494.0	1	36	right	4	-27.2
196.169	0	left	133.33333333299998	left_hand.png	1.0	980845.0	1	37	right	4	3.8
200.7892	0	right	83.3333333333	left_hand.png	2.0	1003946.0	1	38	right	4	-8.4
205.493	0	left	166.66666666700002	left_hand.png	1.0	1027465.0	1	39	right	4	-27.4
210.1464	0	right	116.666666667	left_hand.png	2.0	1050732.0	1	40	right	4	-13.4
214.851	0	left	166.66666666700002	left_hand.png	1.0	1074255.0	1	41	right	4	-23.6
219.554	0	left	166.66666666700002	left_hand.png	1.0	1097770.0	1	42	right	4	-22.6
228.1272	0	right	166.66666666700002	left_hand.png	2.0	1140636.0	1	43	right	5	-5.6
232.7136	0	left	50.0	right_hand.png	1.0	1163568.0	1	44	left	5	-11.2
237.3842	0	right	133.33333333299998	left_hand.png	2.0	1186921.0	1	45	right	5	-21.0
242.0752	0	left	150.0	left_hand.png	1.0	1210376.0	1	46	right	5	-1.6
246.7412	0	right	133.33333333299998	left_hand.png	2.0	1233706.0	1	47	right	5	-34.0
251.4114	0	left	133.33333333299998	left_hand.png	1.0	1257057.0	1	48	right	5	6.2
256.1326	0	right	183.33333333299998	right_hand.png	2.0	1280663.0	1	49	left	5	-4.6
260.7854	0	left	116.666666667	left_hand.png	1.0	1303927.0	1	50	right	5	-23.8
265.5066	0	left	183.33333333299998	left_hand.png	1.0	1327533.0	1	51	right	5	-9.0
270.2096	0	left	166.66666666700002	right_hand.png	1.0	1351048.0	1	52	left	5	-8.8
274.8798	0	right	133.33333333299998	left_hand.png	2.0	1374399.0	1	53	right	5	-12.6
279.5998	0	right	183.33333333299998	right_hand.png	2.0	1397999.0	1	54	left	5	-18.0
284.324	0	right	183.33333333299998	right_hand.png	2.0	1421620.0	1	55	left	5	-10.4
288.9574	0	left	100.0	left_hand.png	1.0	1444787.0	1	56	right	5	-37.6
293.6648	0	right	166.66666666700002	left_hand.png	2.0	1468324.0	1	57	right	5	-7.2
302.4714	0	right	166.66666666700002	right_hand.png	2.0	1512357.0	1	58	left	6	-7.4
307.072	0	left	66.6666666667	left_hand.png	1.0	1535360.0	1	59	right	6	0.0
311.743	0	right	133.33333333299998	right_hand.png	2.0	1558715.0	1	60	left	6	-4.4
316.3632	0	left	83.3333333333	right_hand.png	1.0	1581816.0	1	61	left	6	-0.2
321.0692	0	right	166.66666666700002	right_hand.png	2.0	1605346.0	1	62	left	6	-1.6
325.7226	0	left	116.666666667	left_hand.png	1.0	1628613.0	1	63	right	6	-13.8
330.3428	0	right	83.3333333333	left_hand.png	2.0	1651714.0	1	64	right	6	-23.4
334.9632	0	left	83.3333333333	left_hand.png	1.0	1674816.0	1	65	right	6	-12.8
339.6834	0	left	183.33333333299998	left_hand.png	1.0	1698417.0	1	66	right	6	-22.6
344.2536	0	right	33.3333333333	right_hand.png	2.0	1721268.0	1	67	left	6	-13.4
348.8904	0	left	100.0	right_hand.png	1.0	1744452.0	1	68	left	6	-13.6
353.5774	0	right	150.0	left_hand.png	2.0	1767887.0	1	69	right	6	1.4
358.26199999999994	0	left	150.0	right_hand.png	1.0	1791310.0	1	70	left	6	-15.6
362.967	0	right	166.66666666700002	left_hand.png	2.0	1814835.0	1	71	right	6	-7.6
367.6184	0	left	116.666666667	left_hand.png	1.0	1838092.0	1	72	right	6	-2.4
