onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
18.5222	0	right	16.6666666667	left_hand.png	2.0	92611.0	1	1	right	1	-13.4
23.7428	0	left	33.3333333333	right_hand.png	1.0	118714.0	1	2	left	1	-37.2
28.7134	0	right	16.6666666667	right_hand.png	2.0	143567.0	1	3	left	1	-15.8
37.7366	0	left	116.666666667	left_hand.png	1.0	188683.0	1	4	right	2	-27.8
45.9596	0	right	133.33333333299998	left_hand.png	2.0	229798.0	1	5	right	3	-3.0
54.249	0	left	33.3333333333	left_hand.png	1.0	271245.0	1	6	right	4	-28.2
58.8362	0	right	50.0	right_hand.png	2.0	294181.0	1	7	left	4	-33.0
63.4562	0	right	83.3333333333	left_hand.png	2.0	317281.0	1	8	right	4	-17.8
68.0266	0	left	33.3333333333	right_hand.png	1.0	340133.0	1	9	left	4	-7.4
72.6006	0	left	33.3333333333	right_hand.png	1.0	363003.0	1	10	left	4	-17.8
77.15	0	left	16.6666666667	left_hand.png	1.0	385750.0	1	11	right	4	8.4
81.7242	0	left	33.3333333333	right_hand.png	1.0	408621.0	1	12	left	4	-9.0
86.3072	0	right	50.0	right_hand.png	2.0	431536.0	1	13	left	4	-9.6
90.894	0	right	50.0	left_hand.png	2.0	454470.0	1	14	right	4	-39.6
99.3168	0	left	66.6666666667	right_hand.png	1.0	496584.0	1	15	left	5	-14.4
103.954	0	right	100.0	right_hand.png	2.0	519770.0	1	16	left	5	-37.4
108.5906	0	right	100.0	left_hand.png	2.0	542953.0	1	17	right	5	-21.0
117.2016	0	left	83.3333333333	left_hand.png	1.0	586008.0	1	18	right	7	-4.8
121.8006	0	right	66.6666666667	right_hand.png	2.0	609003.0	1	19	left	7	-21.4
129.9904	0	left	16.6666666667	left_hand.png	1.0	649952.0	1	20	right	8	-19.2
138.2802	0	left	83.3333333333	right_hand.png	1.0	691401.0	1	21	left	9	-14.6
142.9336	0	right	116.666666667	left_hand.png	2.0	714668.0	1	22	right	9	-8.8
147.5206	0	left	50.0	left_hand.png	1.0	737603.0	1	23	right	9	12.2
152.1742	0	right	116.666666667	right_hand.png	2.0	760871.0	1	24	left	9	-7.8
160.5138	0	right	100.0	right_hand.png	2.0	802569.0	1	25	left	10	-1.8
168.7744	0	left	100.0	right_hand.png	1.0	843872.0	1	26	left	11	-19.2
173.3444	0	left	33.3333333333	right_hand.png	1.0	866722.0	1	27	left	11	-32.4
178.0436	0	right	166.66666666700002	right_hand.png	2.0	890218.0	1	28	left	11	-21.2
186.2168	0	left	116.666666667	right_hand.png	1.0	931084.0	1	29	left	12	-2.4
190.841	0	left	83.3333333333	left_hand.png	1.0	954205.0	1	30	right	12	-18.6
195.4072	0	left	33.3333333333	right_hand.png	1.0	977036.0	1	31	left	12	6.0
200.0272	0	right	83.3333333333	left_hand.png	2.0	1000136.0	1	32	right	12	-14.4
208.234	0	left	116.666666667	left_hand.png	1.0	1041170.0	1	33	right	13	-29.2
212.854	0	left	83.3333333333	right_hand.png	1.0	1064270.0	1	34	left	13	-8.8
217.4572	0	left	66.6666666667	right_hand.png	1.0	1087286.0	1	35	left	13	-7.0
222.061	0	right	66.6666666667	left_hand.png	2.0	1110305.0	1	36	right	13	-12.2
226.6476	0	left	50.0	left_hand.png	1.0	1133238.0	1	37	right	13	-35.0
231.251	0	right	66.6666666667	left_hand.png	2.0	1156255.0	1	38	right	13	-31.8
235.8254	0	left	33.3333333333	left_hand.png	1.0	1179127.0	1	39	right	13	-23.8
244.0778	0	right	66.6666666667	left_hand.png	2.0	1220389.0	1	40	right	14	-7.4
248.6646	0	left	50.0	right_hand.png	1.0	1243323.0	1	41	left	14	13.8
253.3016	0	right	100.0	right_hand.png	2.0	1266508.0	1	42	left	14	-8.8
257.8892	0	left	50.0	left_hand.png	1.0	1289446.0	1	43	right	14	-20.4
262.5252	0	right	100.0	left_hand.png	2.0	1312626.0	1	44	right	14	-22.8
267.1456	0	left	83.3333333333	left_hand.png	1.0	1335728.0	1	45	right	14	-35.2
271.7824	0	left	100.0	right_hand.png	1.0	1358912.0	1	46	left	14	-12.8
276.3522	0	left	33.3333333333	right_hand.png	1.0	1381761.0	1	47	left	14	-51.4
281.0392	0	right	150.0	right_hand.png	2.0	1405196.0	1	48	left	14	-28.0
285.6098	0	left	33.3333333333	right_hand.png	1.0	1428049.0	1	49	left	14	-22.2
290.2298	0	right	83.3333333333	right_hand.png	2.0	1451149.0	1	50	left	14	-2.6
294.8166	0	right	50.0	left_hand.png	2.0	1474083.0	1	51	right	14	12.6
299.4536	0	left	100.0	right_hand.png	1.0	1497268.0	1	52	left	14	-29.6
308.1102	0	right	66.6666666667	right_hand.png	2.0	1540551.0	1	53	left	15	-20.0
312.7804	0	left	133.33333333299998	left_hand.png	1.0	1563902.0	1	54	right	15	-25.2
321.0702	0	left	150.0	right_hand.png	1.0	1605351.0	1	55	left	16	-3.6
329.2928	0	right	116.666666667	left_hand.png	2.0	1646464.0	1	56	right	17	-25.6
333.963	0	left	133.33333333299998	left_hand.png	1.0	1669815.0	1	57	right	17	-11.0
338.5666	0	right	66.6666666667	right_hand.png	2.0	1692833.0	1	58	left	17	-6.6
343.2034	0	left	100.0	right_hand.png	1.0	1716017.0	1	59	left	17	-22.6
347.8236	0	left	83.3333333333	left_hand.png	1.0	1739118.0	1	60	right	17	3.6
352.511	0	right	150.0	left_hand.png	2.0	1762555.0	1	61	right	17	-18.6
357.1312	0	left	83.3333333333	left_hand.png	1.0	1785656.0	1	62	right	17	-11.2
361.7218	0	right	50.0	right_hand.png	2.0	1808609.0	1	63	left	17	6.2
366.3716	0	left	116.666666667	right_hand.png	1.0	1831858.0	1	64	left	17	2.6
370.9752	0	right	66.6666666667	left_hand.png	2.0	1854876.0	1	65	right	17	-5.6
375.6284	0	left	116.666666667	right_hand.png	1.0	1878142.0	1	66	left	17	-25.2
383.8388	0	right	100.0	right_hand.png	2.0	1919194.0	1	67	left	18	-18.0
388.5592	0	left	183.33333333299998	left_hand.png	1.0	1942796.0	1	68	right	18	-9.4
393.196	0	left	100.0	left_hand.png	1.0	1965980.0	1	69	right	18	-31.2
397.8296	0	right	100.0	right_hand.png	2.0	1989148.0	1	70	left	18	-5.6
402.4672	0	left	100.0	right_hand.png	1.0	2012336.0	1	71	left	18	-9.6
407.0202	0	right	16.6666666667	left_hand.png	2.0	2035101.0	1	72	right	18	-5.8
415.263	0	left	150.0	left_hand.png	1.0	2076315.0	1	73	right	19	-7.0
419.8498	0	right	50.0	left_hand.png	2.0	2099249.0	1	74	right	19	-35.4
424.4534	0	left	66.6666666667	left_hand.png	1.0	2122267.0	1	75	right	19	-5.4
429.0904	0	right	100.0	left_hand.png	2.0	2145452.0	1	76	right	19	-8.8
433.6782	0	left	50.0	right_hand.png	1.0	2168391.0	1	77	left	19	-14.2
438.314	0	left	100.0	right_hand.png	1.0	2191570.0	1	78	left	19	-3.8
442.9678	0	right	116.666666667	left_hand.png	2.0	2214839.0	1	79	right	19	-11.0
447.5676	0	left	66.6666666667	left_hand.png	1.0	2237838.0	1	80	right	19	-26.2
452.2716	0	right	166.66666666700002	right_hand.png	2.0	2261358.0	1	81	left	19	3.6
460.5644	0	right	150.0	right_hand.png	2.0	2302822.0	1	82	left	20	5.2
465.1346	0	left	33.3333333333	right_hand.png	1.0	2325673.0	1	83	left	20	-8.2
469.7048	0	right	33.3333333333	right_hand.png	2.0	2348524.0	1	84	left	20	-42.8
474.375	0	left	133.33333333299998	right_hand.png	1.0	2371875.0	1	85	left	20	-7.0
478.9786	0	left	66.6666666667	left_hand.png	1.0	2394893.0	1	86	right	20	-2.6
483.6988	0	left	183.33333333299998	left_hand.png	1.0	2418494.0	1	87	right	20	-12.4
488.319	0	right	83.3333333333	left_hand.png	2.0	2441595.0	1	88	right	20	1.0
493.0058	0	right	150.0	left_hand.png	2.0	2465029.0	1	89	right	20	-4.8
497.6898	0	right	150.0	left_hand.png	2.0	2488449.0	1	90	right	20	-25.8
502.3266	0	right	100.0	right_hand.png	2.0	2511633.0	1	91	left	20	-3.4
506.931	0	right	66.6666666667	right_hand.png	2.0	2534655.0	1	92	left	20	0.2
511.5512	0	left	83.3333333333	right_hand.png	1.0	2557756.0	1	93	left	20	-11.2
516.1738	0	left	83.3333333333	right_hand.png	1.0	2580869.0	1	94	left	20	-1.0
520.794	0	left	83.3333333333	left_hand.png	1.0	2603970.0	1	95	right	20	-13.2
525.4978	0	right	166.66666666700002	left_hand.png	2.0	2627489.0	1	96	right	20	-6.6
530.1346	0	left	100.0	left_hand.png	1.0	2650673.0	1	97	right	20	-9.8
534.738	0	right	66.6666666667	left_hand.png	2.0	2673690.0	1	98	right	20	-5.2
544.9794	0	left	50.0	right_hand.png	1.0	2724897.0	1	99	left	22	-6.6
549.6298	0	right	116.666666667	left_hand.png	2.0	2748149.0	1	100	right	22	-23.4
672.1896	0	left	16.6666666667	right_hand.png	1.0	3360948.0	2	1	left	0	-10.4
676.8098	0	right	83.3333333333	right_hand.png	2.0	3384049.0	2	2	left	0	-38.0
681.447	0	left	100.0	left_hand.png	1.0	3407235.0	2	3	right	0	-26.2
686.0504	0	left	66.6666666667	left_hand.png	1.0	3430252.0	2	4	right	0	-21.6
694.3734	0	left	116.666666667	left_hand.png	1.0	3471867.0	2	5	right	1	-0.6
699.06	0	left	150.0	right_hand.png	1.0	3495300.0	2	6	left	1	-7.4
703.7304	0	right	133.33333333299998	right_hand.png	2.0	3518652.0	2	7	left	1	-12.0
708.4006	0	right	133.33333333299998	left_hand.png	2.0	3542003.0	2	8	right	1	-23.0
713.0708	0	left	133.33333333299998	right_hand.png	1.0	3565354.0	2	9	left	1	-8.4
717.7582	0	left	150.0	left_hand.png	1.0	3588791.0	2	10	right	1	-22.2
722.4284	0	left	133.33333333299998	left_hand.png	1.0	3612142.0	2	11	right	1	-22.0
727.0654	0	left	100.0	left_hand.png	1.0	3635327.0	2	12	right	1	-0.2
731.7396	0	right	133.33333333299998	left_hand.png	2.0	3658698.0	2	13	right	1	-14.8
736.3892	0	right	116.666666667	left_hand.png	2.0	3681946.0	2	14	right	1	-30.8
741.0260000000002	0	left	100.0	left_hand.png	1.0	3705130.0	2	15	right	1	-8.4
745.6126	0	right	50.0	left_hand.png	2.0	3728063.0	2	16	right	1	-32.8
750.2496	0	left	100.0	right_hand.png	1.0	3751248.0	2	17	left	1	-16.0
754.8404	0	right	50.0	right_hand.png	2.0	3774202.0	2	18	left	1	-24.4
759.4942	0	right	116.666666667	left_hand.png	2.0	3797471.0	2	19	right	1	-19.0
764.0768	0	left	50.0	left_hand.png	1.0	3820384.0	2	20	right	1	-2.8
768.747	0	right	133.33333333299998	left_hand.png	2.0	3843735.0	2	21	right	1	-30.2
773.4048	0	left	116.666666667	right_hand.png	1.0	3867024.0	2	22	left	1	-28.8
778.0378	0	right	100.0	left_hand.png	2.0	3890189.0	2	23	right	1	-2.6
786.5776	0	left	100.0	right_hand.png	1.0	3932888.0	2	24	left	2	8.0
791.2484	0	left	133.33333333299998	left_hand.png	1.0	3956242.0	2	25	right	2	-29.2
795.868	0	right	83.3333333333	left_hand.png	2.0	3979340.0	2	26	right	2	10.4
800.5548	0	right	150.0	left_hand.png	2.0	4002774.0	2	27	right	2	-42.8
805.2248	0	left	133.33333333299998	right_hand.png	1.0	4026124.0	2	28	left	2	-4.2
809.8124	0	right	50.0	left_hand.png	2.0	4049062.0	2	29	right	2	-9.2
814.4324	0	left	83.3333333333	left_hand.png	1.0	4072162.0	2	30	right	2	6.0
819.0694	0	right	100.0	right_hand.png	2.0	4095347.0	2	31	left	2	2.6
823.6894	0	left	83.3333333333	right_hand.png	1.0	4118447.0	2	32	left	2	-9.4
828.3472	0	right	116.666666667	left_hand.png	2.0	4141736.0	2	33	right	2	-8.0
832.9802	0	right	100.0	right_hand.png	2.0	4164901.0	2	34	left	2	-7.4
841.9872	0	right	100.0	left_hand.png	2.0	4209936.0	2	35	right	3	-28.8
846.6072	0	left	83.3333333333	left_hand.png	1.0	4233036.0	2	36	right	3	-40.8
851.2442	0	left	100.0	right_hand.png	1.0	4256221.0	2	37	left	3	-18.6
855.9348	0	right	150.0	left_hand.png	2.0	4279674.0	2	38	right	3	-24.4
866.1056	0	left	116.666666667	right_hand.png	1.0	4330528.0	2	39	left	4	-32.0
870.7758	0	left	133.33333333299998	right_hand.png	1.0	4353879.0	2	40	left	4	-17.4
875.45	0	right	133.33333333299998	left_hand.png	2.0	4377250.0	2	41	right	4	-32.4
880.1496	0	right	166.66666666700002	right_hand.png	2.0	4400748.0	2	42	left	4	-21.6
884.857	0	left	166.66666666700002	right_hand.png	1.0	4424285.0	2	43	left	4	-44.0
889.4902	0	left	100.0	left_hand.png	1.0	4447451.0	2	44	right	4	-18.2
894.1434	0	right	116.666666667	left_hand.png	2.0	4470717.0	2	45	right	4	-12.2
898.7472	0	left	66.6666666667	left_hand.png	1.0	4493736.0	2	46	right	4	-8.0
903.4672	0	left	183.33333333299998	right_hand.png	1.0	4517336.0	2	47	left	4	8.0
908.0542	0	left	50.0	left_hand.png	1.0	4540271.0	2	48	right	4	-15.4
912.7118	0	right	116.666666667	left_hand.png	2.0	4563559.0	2	49	right	4	-5.4
