onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
1671.5804	0	left	66.6666666667	left_hand.png	1.0	8357902.0	3	75	right	4	-2.8
1676.267	0	right	150.0	left_hand.png	2.0	8381335.0	3	76	right	4	-7.6
1680.9044	0	right	100.0	left_hand.png	2.0	8404522.0	3	77	right	4	-34.0
1685.591	0	right	150.0	left_hand.png	2.0	8427955.0	3	78	right	4	-10.2
1690.2114	0	left	83.3333333333	right_hand.png	1.0	8451057.0	3	79	left	4	3.0
1694.8312	0	left	83.3333333333	left_hand.png	1.0	8474156.0	3	80	right	4	-8.8
1699.4520000000002	0	left	83.3333333333	right_hand.png	1.0	8497260.0	3	81	left	4	-47.2
1704.0929999999996	0	left	100.0	left_hand.png	1.0	8520465.0	3	82	right	4	-3.4
1708.7464	0	left	116.666666667	left_hand.png	1.0	8543732.0	3	83	right	4	-23.2
1713.3792	0	right	100.0	right_hand.png	2.0	8566896.0	3	84	left	4	-22.4
1718.0536	0	right	133.33333333299998	left_hand.png	2.0	8590268.0	3	85	right	4	-37.6
1722.6526	0	right	66.6666666667	right_hand.png	2.0	8613263.0	3	86	left	4	-7.8
1727.3066	0	left	116.666666667	left_hand.png	1.0	8636533.0	3	87	right	4	-18.6
1732.0102	0	right	166.66666666700002	left_hand.png	2.0	8660051.0	3	88	right	4	-20.4
1736.6138	0	right	66.6666666667	left_hand.png	2.0	8683069.0	3	89	right	4	-12.2
1741.2856	0	right	133.33333333299998	left_hand.png	2.0	8706428.0	3	90	right	4	-24.8
1745.8914	0	left	66.6666666667	left_hand.png	1.0	8729457.0	3	91	right	4	-22.6
1750.595	0	right	166.66666666700002	right_hand.png	2.0	8752975.0	3	92	left	4	-41.4
1755.2320000000002	0	left	100.0	left_hand.png	1.0	8776160.0	3	93	right	4	2.0
1759.8022	0	left	33.3333333333	right_hand.png	1.0	8799011.0	3	94	left	4	-7.0
1764.4556	0	right	116.666666667	right_hand.png	2.0	8822278.0	3	95	left	4	-14.0
1773.5462	0	right	83.3333333333	left_hand.png	2.0	8867731.0	3	96	right	5	-29.4
1778.164	0	left	83.3333333333	left_hand.png	1.0	8890820.0	3	97	right	5	5.4
1782.8004	0	right	100.0	left_hand.png	2.0	8914002.0	3	98	right	5	-28.0
1787.4536	0	right	116.666666667	left_hand.png	2.0	8937268.0	3	99	right	5	-33.0
1792.6274	0	left	33.3333333333	right_hand.png	1.0	8963137.0	3	100	left	5	-13.0
