onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
6.8952	0	right	133.33333333299998	left_hand.png	2.0	34476.0	1	1	right	1	-17.2
16.5818	0	right	116.666666667	right_hand.png	2.0	82909.0	1	2	left	2	-31.2
21.9526	0	left	133.33333333299998	left_hand.png	1.0	109763.0	1	3	right	2	-47.4
26.9398	0	left	116.666666667	left_hand.png	1.0	134699.0	1	4	right	2	-42.6
31.7806	0	right	166.66666666700002	left_hand.png	2.0	158903.0	1	5	right	2	-19.4
36.764	0	right	133.33333333299998	left_hand.png	2.0	183820.0	1	6	right	2	-36.4
41.9716	0	left	133.33333333299998	left_hand.png	1.0	209858.0	1	7	right	2	-72.8
46.7382	0	left	100.0	left_hand.png	1.0	233691.0	1	8	right	2	-28.6
51.5626	0	left	66.6666666667	right_hand.png	1.0	257813.0	1	9	left	2	-63.8
56.533	0	left	150.0	left_hand.png	1.0	282665.0	1	10	right	2	-40.8
61.2824	0	right	116.666666667	left_hand.png	2.0	306412.0	1	11	right	2	-35.2
70.4064	0	left	166.66666666700002	left_hand.png	1.0	352032.0	1	12	right	3	-40.4
75.3102	0	right	83.3333333333	right_hand.png	2.0	376551.0	1	13	left	3	-54.6
81.7316	0	right	50.0	right_hand.png	2.0	408658.0	1	14	left	3	-28.8
86.5522	0	left	16.6666666667	right_hand.png	1.0	432761.0	1	15	left	3	-32.6
91.7722	0	left	150.0	left_hand.png	1.0	458861.0	1	16	right	3	-55.8
99.2786	0	right	50.0	right_hand.png	2.0	496393.0	1	17	left	3	-35.8
104.3492	0	right	100.0	right_hand.png	2.0	521746.0	1	18	left	3	-37.6
109.4698	0	right	116.666666667	left_hand.png	2.0	547349.0	1	19	right	3	-63.8
114.757	0	left	133.33333333299998	left_hand.png	1.0	573785.0	1	20	right	3	-51.8
119.6606	0	right	33.3333333333	right_hand.png	2.0	598303.0	1	21	left	3	-65.8
129.9356	0	right	33.3333333333	right_hand.png	2.0	649678.0	1	22	left	3	-24.0
135.0894	0	right	133.33333333299998	right_hand.png	2.0	675447.0	1	23	left	3	-32.2
140.014	0	right	16.6666666667	left_hand.png	2.0	700070.0	1	24	right	3	-41.6
144.981	0	right	166.66666666700002	left_hand.png	2.0	724905.0	1	25	right	3	-27.8
150.739	0	left	50.0	right_hand.png	1.0	753695.0	1	26	left	3	-46.4
155.4214	0	left	150.0	left_hand.png	1.0	777107.0	1	27	right	3	-52.6
160.0586	0	left	83.3333333333	left_hand.png	1.0	800293.0	1	28	right	3	-41.4
164.7958	0	right	100.0	left_hand.png	2.0	823979.0	1	29	right	3	-42.6
169.6994	0	right	150.0	left_hand.png	2.0	848497.0	1	30	right	3	-31.0
174.4532	0	left	116.666666667	right_hand.png	1.0	872266.0	1	31	left	3	-23.2
179.1774	0	left	183.33333333299998	right_hand.png	1.0	895887.0	1	32	left	3	-49.6
183.7934	0	left	83.3333333333	left_hand.png	1.0	918967.0	1	33	right	3	-19.4
188.5302	0	left	50.0	left_hand.png	1.0	942651.0	1	34	right	3	-50.4
193.4508	0	left	166.66666666700002	right_hand.png	1.0	967254.0	1	35	left	3	-51.2
205.21	0	right	116.666666667	right_hand.png	2.0	1026050.0	1	36	left	4	-34.4
210.1806	0	left	100.0	left_hand.png	1.0	1050903.0	1	37	right	4	-44.2
214.8674	0	right	50.0	left_hand.png	2.0	1074337.0	1	38	right	4	-66.2
219.8546	0	left	100.0	left_hand.png	1.0	1099273.0	1	39	right	4	-35.8
224.525	0	left	133.33333333299998	left_hand.png	1.0	1122625.0	1	40	right	4	-72.6
229.3788	0	right	66.6666666667	right_hand.png	2.0	1146894.0	1	41	left	4	-48.2
234.3988	0	right	100.0	right_hand.png	2.0	1171994.0	1	42	left	4	-39.2
239.1526	0	right	50.0	left_hand.png	2.0	1195763.0	1	43	right	4	-31.4
243.9604	0	left	100.0	left_hand.png	1.0	1219802.0	1	44	right	4	-52.0
253.4806	0	right	133.33333333299998	left_hand.png	2.0	1267403.0	1	45	right	5	-25.0
258.401	0	right	116.666666667	right_hand.png	2.0	1292005.0	1	46	left	5	-54.2
263.3714	0	left	83.3333333333	left_hand.png	1.0	1316857.0	1	47	right	5	-51.8
268.0256	0	right	83.3333333333	right_hand.png	2.0	1340128.0	1	48	left	5	-50.8
272.9786	0	left	100.0	left_hand.png	1.0	1364893.0	1	49	right	5	-14.2
277.8866	0	right	33.3333333333	left_hand.png	2.0	1389433.0	1	50	right	5	-48.8
285.9432	0	right	16.6666666667	right_hand.png	2.0	1429716.0	1	51	left	5	-34.2
290.9592	0	right	150.0	left_hand.png	2.0	1454796.0	1	52	right	5	-49.2
296.0172	0	left	116.666666667	left_hand.png	1.0	1480086.0	1	53	right	5	-38.4
300.6998	0	left	150.0	right_hand.png	1.0	1503499.0	1	54	left	5	-36.2
305.3204	0	right	83.3333333333	right_hand.png	2.0	1526602.0	1	55	left	5	-48.8
309.9918	0	left	83.3333333333	left_hand.png	1.0	1549959.0	1	56	right	5	-35.4
314.6448	0	right	116.666666667	right_hand.png	2.0	1573224.0	1	57	left	5	-29.2
319.5488	0	left	116.666666667	left_hand.png	1.0	1597744.0	1	58	right	5	-43.6
324.3222	0	right	83.3333333333	left_hand.png	2.0	1621611.0	1	59	right	5	-54.0
329.176	0	left	116.666666667	right_hand.png	1.0	1645880.0	1	60	left	5	-70.8
