onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
18.1556	0	right	116.666666667	left_hand.png	2.0	90778.0	1	1	right	2	-4.2
22.9922	0	right	100.0	right_hand.png	2.0	114961.0	1	2	left	2	-2.4
27.5638	0	left	33.3333333333	right_hand.png	1.0	137819.0	1	3	left	2	-17.2
35.652	0	right	16.6666666667	right_hand.png	2.0	178260.0	1	4	left	3	9.8
40.2594	0	right	66.6666666667	left_hand.png	2.0	201297.0	1	5	right	3	-15.2
49.0162	0	left	100.0	left_hand.png	1.0	245081.0	1	6	right	5	-16.8
57.8232	0	right	33.3333333333	left_hand.png	2.0	289116.0	1	7	right	7	-43.0
62.3728	0	right	16.6666666667	left_hand.png	2.0	311864.0	1	8	right	7	-10.2
67.5938	0	left	16.6666666667	left_hand.png	1.0	337969.0	1	9	right	8	-8.8
80.1024	0	right	16.6666666667	right_hand.png	2.0	400512.0	1	10	left	9	1.0
84.6728	0	left	33.3333333333	right_hand.png	1.0	423364.0	1	11	left	9	-38.2
89.3138	0	left	100.0	left_hand.png	1.0	446569.0	1	12	right	9	-20.0
93.9134	0	right	66.6666666667	right_hand.png	2.0	469567.0	1	13	left	9	-11.6
98.5542	0	left	100.0	right_hand.png	1.0	492771.0	1	14	left	9	-18.8
106.5892	0	right	50.0	left_hand.png	2.0	532946.0	1	15	right	10	2.0
111.1428	0	right	16.6666666667	right_hand.png	2.0	555714.0	1	16	left	10	-13.4
115.7636	0	right	83.3333333333	right_hand.png	2.0	578818.0	1	17	left	10	0.6
120.3664	0	right	66.6666666667	right_hand.png	2.0	601832.0	1	18	left	10	-19.8
125.0368	0	right	133.33333333299998	left_hand.png	2.0	625184.0	1	19	right	10	-12.4
129.657	0	left	83.3333333333	right_hand.png	1.0	648285.0	1	20	left	10	-17.6
134.2314	0	left	33.3333333333	right_hand.png	1.0	671157.0	1	21	left	10	-35.2
142.4378	0	left	150.0	left_hand.png	1.0	712189.0	1	22	right	11	-1.2
